Exercise_Name,muscle_gp,Equipment,Rating,Difficulty
Rickshaw Carry,Forearms,Other,5,Average
Single-Leg Press,Quadriceps,Machine,1,Hard
Landmine twist,Abdominals,Other,10,Hard
Weighted pull-up,Lats,Other,1,Average
T-Bar Row with Handle,Middle Back,Other,8,Hard
Palms-down wrist curl over bench,Forearms,Barbell,9,Average
Atlas Stones,Lower Back,Other,6,Average
Dumbbell front raise to lateral raise,Shoulders,Dumbbell,9,Average
Clean from Blocks,Quadriceps,Barbell,5,Easy
Incline Hammer Curls,Biceps,Dumbbell,5,Average
Straight-bar wrist roll-up,Forearms,Other,2,Average
Barbell glute bridge,Glutes,Barbell,2,Hard
Clean and press,Shoulders,Barbell,1,Average
Triceps dip,Triceps,Body Only,7,Average
Dumbbell farmer's walk,Forearms,Other,4,Average
Palms-up wrist curl over bench,Forearms,Barbell,3,Easy
Barbell Full Squat,Quadriceps,Barbell,7,Average
Barbell deficit deadlift,Lower Back,Barbell,7,Hard
Barbell Deadlift,Hamstrings,Barbell,10,Average
Single-arm palm-in dumbbell shoulder press,Shoulders,Dumbbell,7,Average
Romanian Deadlift With Dumbbells,Hamstrings,Dumbbell,2,Average
Tire flip,Quadriceps,Other,7,Easy
Clean Deadlift,Hamstrings,Barbell,3,Average
Elbow plank,Abdominals,Body Only,8,Hard
Bottoms Up,Abdominals,Body Only,3,Average
Barbell back squat to box,Quadriceps,Barbell,3,Average
Clean and jerk,Shoulders,Barbell,8,Average
Single-arm kettlebell push-press,Shoulders,Kettlebells,10,Easy
Push-press,Quadriceps,Barbell,7,Average
Suspended ab fall-out,Abdominals,Other,7,Hard
Military press,Shoulders,Barbell,7,Average
Power snatch-,Quadriceps,Barbell,5,Average
Sumo deadlift,Hamstrings,Barbell,5,Average
Hang Clean,Quadriceps,Barbell,7,Easy
Dumbbell V-Sit Cross Jab,Abdominals,Dumbbell,4,Average
Reverse Band Box Squat,Quadriceps,Other,9,Hard
Standing palms-in shoulder press,Shoulders,Dumbbell,5,Average
Standing cable low-to-high twist,Abdominals,Cable,6,Average
Decline EZ-bar skullcrusher,Triceps,E-Z Curl Bar,3,Average
Standing behind-the-back wrist curl,Forearms,Barbell,3,Easy
Seated finger curl,Forearms,Barbell,5,Average
Wide-grip barbell curl,Biceps,Barbell,4,Hard
Dumbbell spell caster,Abdominals,Dumbbell,2,Average
Dumbbell floor press,Triceps,Dumbbell,2,Average
Lying Face Down Plate Neck Resistance,Neck,Other,2,Average
Pullups,Lats,Body Only,7,Easy
Decline reverse crunch,Abdominals,Other,7,Average
Dumbbell Bench Press,Chest,Dumbbell,2,Hard
Jumping rope,Quadriceps,Body Only,3,Average
Seated barbell shoulder press,Shoulders,Barbell,3,Average
EZ-bar spider curl,Biceps,Barbell,5,Average
Smith machine shrug,Traps,Machine,1,Easy
Smith Machine Calf Raise,Calves,Machine,10,Average
Romanian Deadlift from Deficit,Hamstrings,Barbell,9,Hard
Power Snatch,Hamstrings,Barbell,7,Average
Pushups,Chest,Body Only,9,Average
Barbell walking lunge,Quadriceps,Barbell,6,Average
Front Squats With Two Kettlebells,Quadriceps,Kettlebells,3,Easy
Spider crawl,Abdominals,Body Only,9,Average
Power Clean from Blocks,Hamstrings,Barbell,3,Hard
Single Leg Push-off,Quadriceps,Other,4,Average
Hip Circles (Prone),Abductors,,5,Average
Reverse-grip bent-over row,Middle Back,Barbell,9,Average
Seated Two-Arm Palms-Up Low-Pulley Wrist Curl,Forearms,Cable,8,Easy
Back extension,Lower Back,Body Only,1,Average
Close-grip bench press,Chest,Barbell,6,Hard
Cocoons,Abdominals,Body Only,10,Average
Cross-Body Crunch,Abdominals,Body Only,8,Average
Dumbbell Flyes,Chest,Dumbbell,8,Average
Hammer Curls,Biceps,Dumbbell,5,Easy
Incline dumbbell bench press,Chest,Dumbbell,2,Average
Low-cable cross-over,Chest,Cable,8,Hard
Single-arm high-cable side bend,Abdominals,Cable,1,Average
Seated Dumbbell Press,Shoulders,Dumbbell,9,Average
Standing dumbbell shoulder press,Shoulders,Dumbbell,7,Average
EZ-Bar Curl,Biceps,E-Z Curl Bar,10,Average
Olympic Squat,Quadriceps,Barbell,2,Hard
Natural Glute Ham Raise,Hamstrings,Body Only,8,Average
Axle Deadlift,Lower Back,Other,9,Average
Zottman Curl,Biceps,Other,2,Average
Glute ham raise-,Hamstrings,,2,Easy
Single-arm lateral raise,Shoulders,Dumbbell,3,Average
Power Partials,Shoulders,Dumbbell,1,Hard
Leverage Shrug,Traps,Machine,2,Average
Cable V-bar push-down,Triceps,Cable,9,Average
Wrist Roller,Forearms,Other,7,Average
Incline dumbbell reverse fly,Shoulders,Dumbbell,7,Easy
Stair climber,Quadriceps,Machine,7,Average
Elbow-to-knee crunch,Abdominals,Body Only,10,Hard
Kettlebell Pistol Squat,Quadriceps,Kettlebells,3,Average
Overhead dumbbell front raise,Shoulders,Dumbbell,9,Average
Biceps curl to shoulder press,Biceps,Dumbbell,10,Average
Weighted bench dip,Triceps,Body Only,10,Easy
Barbell Hip Thrust,Glutes,Barbell,9,Average
Forward lunge,Quadriceps,Body Only,4,Hard
Barbell Bench Press - Medium Grip,Chest,Barbell,8,Average
Chest dip,Chest,Other,5,Hard
Seated dumbbell shoulder press,Shoulders,Dumbbell,10,Easy
Barbell Curl,Biceps,Barbell,5,Easy
EZ-Bar Skullcrusher,Triceps,E-Z Curl Bar,5,Average
One-Arm Dumbbell Row,Middle Back,Dumbbell,2,Average
Alternating standing shoulder press,Shoulders,Dumbbell,10,Hard
Concentration curl,Biceps,Dumbbell,1,Easy
Decline Crunch,Abdominals,Body Only,3,Easy
Decline Dumbbell Flyes,Chest,Dumbbell,3,Average
Single-arm incline rear delt raise,Shoulders,Dumbbell,6,Average
Alternating dumbbell front raise,Shoulders,Dumbbell,8,Hard
Hanging toes-to-bar,Abdominals,Body Only,7,Easy
Narrow-stance squat,Quadriceps,Barbell,6,Easy
Kneeling cable oblique crunch,Abdominals,Cable,4,Average
Reverse Grip Triceps Pushdown,Triceps,Cable,3,Average
Bear crawl sled drag,Quadriceps,Other,1,Hard
Rocky Pull-Ups/Pulldowns,Lats,Other,3,Easy
Snatch-Grip Behind-The-Neck Overhead Press,Shoulders,Barbell,7,Easy
Box Squat with Bands,Quadriceps,Barbell,6,Average
Flexor Incline Dumbbell Curls,Biceps,Dumbbell,4,Average
Seated One-Arm Dumbbell Palms-Up Wrist Curl,Forearms,Dumbbell,4,Hard
Thigh adductor,Adductors,Machine,9,Easy
Machine Bicep Curl,Biceps,Machine,3,Easy
Seated Palms-Down Barbell Wrist Curl,Forearms,Other,2,Average
Car driver,Shoulders,Other,9,Average
Alternating Deltoid Raise,Shoulders,Dumbbell,2,Average
Hanging Oblique Knee Raise,Abdominals,Body Only,1,Hard
Bodyweight Flyes,Chest,E-Z Curl Bar,9,Easy
Standing Calf Raises,Calves,Machine,2,Easy
Push-Ups - Close Triceps Position,Triceps,Body Only,8,Average
One-Arm Long Bar Row,Middle Back,Barbell,3,Average
Overhead cable curl,Biceps,Cable,4,Hard
Single-dumbbell front raise,Shoulders,Dumbbell,3,Hard
Incline cable chest fly,Chest,Cable,8,Easy
Single-leg depth squat,Quadriceps,Bands,8,Easy
Dumbbell suitcase crunch,Abdominals,Medicine Ball,4,Average
Plate Twist,Abdominals,Other,1,Average
Single-leg cable hip extension,Glutes,Cable,7,Average
Weighted Jump Squat,Quadriceps,Barbell,8,Average
Squat with Chains,Quadriceps,Barbell,5,Average
Gorilla Chin/Crunch,Abdominals,Body Only,3,Average
Kneeling cable triceps extension,Triceps,Cable,6,Hard
Kneeling Cable Crunch With Alternating Oblique Twists,Abdominals,Cables,3,Hard
Bicycling,Quadriceps,Other,5,Easy
Arnold press,Shoulders,Dumbbell,10,Easy
Weighted Crunches,Abdominals,Other,1,Average
Single-arm cable triceps extension,Triceps,Cable,10,Average
Barbell roll-out,Abdominals,Barbell,6,Average
Kneeling cable crunch,Abdominals,Cable,1,Average
Exercise Ball Pull-In,Abdominals,Exercise Ball,9,Average
Hanging leg raise,Abdominals,Body Only,2,Average
Barbell Ab Rollout - On Knees,Abdominals,Barbell,3,Hard
Barbell Squat,Quadriceps,Barbell,6,Hard
Decline barbell bench press,Chest,Barbell,8,Easy
Dumbbell Bicep Curl,Biceps,Dumbbell,9,Easy
Dumbbell Goblet Squat,Quadriceps,Dumbbell,2,Average
Dumbbell squat,Quadriceps,Dumbbell,3,Average
Barbell front squat,Quadriceps,Barbell,9,Average
Close-grip pull-down,Lats,Cable,4,Average
Triceps Pushdown - Rope Attachment,Triceps,Cables,8,Average
Side-to-side box skip,Quadriceps,Body Only,1,Average
Smith machine shoulder press,Shoulders,Machine,7,Hard
Seated triceps press,Triceps,Dumbbell,7,Hard
Dumbbell Lying Supination,Forearms,Other,8,Easy
Pull-up,Lats,Body Only,5,Easy
Wide-grip bench press,Chest,Barbell,1,Average
Close-grip EZ-bar curl,Biceps,Barbell,4,Average
T-Bar Row,Middle Back,Other,3,Average
Bent Over Two-Arm Long Bar Row,Middle Back,Barbell,7,Average
Muscle Up,Lats,Body Only,3,Average
Machine shoulder press,Shoulders,Machine,5,Average
Incline EZ-bar skullcrusher,Triceps,Barbell,1,Hard
Alternating sit-through with crunch,Middle Back,Other,1,Hard
Wide-Grip Decline Barbell Bench Press,Chest,Barbell,5,Easy
Rower,Middle Back,Machine,9,Easy
Snatch Deadlift,Hamstrings,Barbell,5,Average
Front Plate Raise,Shoulders,Other,1,Average
Decline Close-Grip Bench To Skull Crusher,Triceps,Barbell,2,Average
Lying Leg Curls,Hamstrings,Machine,1,Average
Cross-body hammer curl,Biceps,Dumbbell,8,Average
Shotgun row,Lats,Cable,9,Average
Ab Roller,Abdominals,Other,2,Hard
Reverse-grip incline dumbbell bench press,Chest,Dumbbell,10,Hard
Leg Press,Quadriceps,Machine,10,Easy
Stiff-Legged Dumbbell Deadlift,Hamstrings,Dumbbell,9,Easy
Cable Crossover,Chest,Cable,3,Average
Barbell Incline Bench Press Medium-Grip,Chest,Barbell,2,Average
Incline Dumbbell Flyes,Chest,Dumbbell,5,Average
Seated Cable Rows,Middle Back,Cable,9,Average
Tricep Dumbbell Kickback,Triceps,Dumbbell,7,Average
Otis-Up,Abdominals,Other,1,Average
Mountain climber,Abdominals,Body Only,1,Hard
Ab bicycle,Abdominals,Body Only,7,Hard
Barbell forward lunge,Quadriceps,Barbell,7,Easy
3/4 sit-up,Abdominals,Body Only,7,Easy
Exercise ball leg curl,Hamstrings,Exercise Ball,4,Average
Glute bridge,Glutes,Body Only,9,Average
Close-Grip Front Lat Pulldown,Lats,Cable,4,Average
Dip Machine,Triceps,Cable,2,Average
Incline dumbbell row,Middle Back,Dumbbell,3,Average
Dumbbell Lunges,Quadriceps,Dumbbell,9,Average
Single-arm standing shoulder press,Shoulders,Dumbbell,10,Hard
Preacher Curl,Biceps,Barbell,4,Hard
Reverse crunch,Abdominals,Body Only,9,Easy
Standing Dumbbell Triceps Extension,Triceps,Dumbbell,2,Easy
Elliptical trainer,Quadriceps,Machine,10,Average
Bodyweight squat,Quadriceps,Body Only,3,Average
Bent Over Two-Dumbbell Row With Palms In,Middle Back,Dumbbell,7,Average
Hex-bar deadlift,Quadriceps,Other,1,Hard
Narrow-stance leg press,Quadriceps,Machine,5,Average
Single-leg glute bridge,Glutes,Body Only,6,Hard
Barbell Curls Lying Against An Incline,Biceps,Barbell,9,Easy
Standing Hip Circles,Abductors,Body Only,2,Average
Clam,Abductors,Other,9,Average
Narrow Stance Hack Squats,Quadriceps,Machine,9,Average
Seated Close-Grip Concentration Barbell Curl,Biceps,Barbell,9,Average
Dumbbell Lying Pronation,Forearms,Machine,2,Average
Smith machine box squat,Quadriceps,Barbell,8,Hard
Drop Push,Chest,Other,5,Average
Upside-down pull-up,Middle Back,Other,9,Hard
Reverse Barbell Preacher Curls,Biceps,E-Z Curl Bar,3,Easy
Close-grip EZ-bar bench press,Chest,E-Z Curl Bar,8,Average
Incline Push-Up,Chest,Body Only,3,Average
Hyperextensions With No Hyperextension Bench,Lower Back,Body Only,3,Average
Dumbbell front raise,Shoulders,Dumbbell,1,Average
Parallel Bar Dip,Triceps,Body Only,5,Average
Stairmaster,Quadriceps,Machine,8,Hard
Double Leg Butt Kick,Quadriceps,Other,8,Average
Groiners,Adductors,Body Only,2,Hard
Neck Press,Chest,Barbell,5,Easy
Broad jump,Quadriceps,Body Only,8,Average
Machine Squat,Quadriceps,Machine,2,Average
V-bar pull-up,Lats,Machine,4,Average
Ring dip,Triceps,Body Only,6,Average
Standing One-Arm Cable Curl,Biceps,Cable,7,Average
Burpee,Quadriceps,Body Only,10,Hard
Double-arm triceps kick-back,Triceps,Dumbbell,10,Average
Dumbbell reverse lunge,Quadriceps,Dumbbell,5,Hard
Seated Calf Raise,Calves,Machine,3,Easy
Standing dumbbell shrug,Traps,Dumbbell,8,Average
Calf Press On The Leg Press Machine,Calves,Machine,3,Average
Barbell step-up,Quadriceps,Barbell,6,Average
Feet-elevated bench dip,Triceps,Body Only,7,Average
Bent Over Barbell Row,Middle Back,Barbell,7,Average
Crunches,Abdominals,Body Only,8,Hard
Dumbbell Alternate Bicep Curl,Biceps,Dumbbell,10,Average
Bent-over dumbbell rear delt row,Shoulders,Dumbbell,2,Hard
External Rotation with Cable,Shoulders,Cables,7,Easy
Handstand push-up,Shoulders,Body Only,8,Average
Single-arm dumbbell preacher curl,Biceps,Dumbbell,5,Average
Step-up with knee raise,Glutes,Body Only,3,Average
Smith machine back squat,Quadriceps,Machine,6,Average
Incline dumbbell front raise,Shoulders,Dumbbell,4,Average
Alternate Incline Dumbbell Curl,Biceps,Dumbbell,7,Hard
Standing dumbbell upright row,Traps,Dumbbell,8,Average
Single-arm cable front raise,Shoulders,Cable,9,Hard
Two-Arm Kettlebell Military Press,Shoulders,Kettlebells,6,Easy
Incline cable chest press,Chest,Cable,1,Average
Rope climb,Lats,Body Only,7,Average
Trail Running/Walking,Quadriceps,Body Only,7,Average
Standing Bradford press,Shoulders,Barbell,7,Hard
Neutral-grip dumbbell bench press,Chest,Dumbbell,3,Easy
Cable Chest Press,Chest,Cable,5,Average
Standing concentration curl,Biceps,Dumbbell,3,Average
Wide-Grip Rear Pull-Up,Lats,Body Only,2,Average
Kettlebell pass-through lunge,Hamstrings,Kettlebells,5,Average
Hands-elevated push-up,Chest,Body Only,8,Average
Deadlift with Bands,Lower Back,Barbell,2,Hard
Straight-arm rope pull-down,Lats,Cable,5,Average
Barbell Shoulder Press,Shoulders,Barbell,4,Hard
Power clean,Hamstrings,Barbell,3,Easy
Hang Snatch,Hamstrings,Barbell,9,Average
Kettlebell sumo deadlift high pull,Traps,Kettlebells,10,Average
Calf-Machine Shoulder Shrug,Traps,Machine,1,Average
Bench Press - Powerlifting,Triceps,Barbell,4,Average
Rocking Standing Calf Raise,Calves,Barbell,4,Average
Goblet Squat,Quadriceps,Kettlebells,7,Hard
Behind-the-head skullcrusher,Triceps,Barbell,5,Average
Seated palms-up wrist curl,Forearms,Barbell,10,Hard
Reverse Cable Curl,Biceps,Cable,4,Easy
Dumbbell side bend,Abdominals,Dumbbell,5,Average
Lat pull-down,Lats,Cable,4,Average
Side Lateral Raise,Shoulders,Dumbbell,3,Average
Alternating incline dumbbell biceps curl,Biceps,Dumbbell,9,Average
Kettlebell One-Legged Deadlift,Hamstrings,Kettlebells,3,Average
Alternate Hammer Curl,Biceps,Dumbbell,3,Hard
Decline Push-Up,Chest,Body Only,6,Average
Captain's chair knee raise,Abdominals,Other,5,Hard
Triceps Pushdown,Triceps,Cable,6,Easy
Low cable overhead triceps extension,Triceps,Cable,1,Average
Single-arm cable cross-over,Chest,Cable,3,Average
Seated dumbbell biceps curl,Biceps,Dumbbell,6,Average
Battle ropes,Shoulders,Other,10,Average
Dead bug reach,Abdominals,Body Only,7,Average
Deadlift with Chains,Lower Back,Barbell,6,Hard
Rope Crunch,Abdominals,Cable,1,Average
Palms-Up Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,1,Hard
Kettlebell thruster,Glutes,Kettlebells,1,Easy
Single-Arm Push-Up,Chest,Body Only,6,Average
Band Hip Adductions,Adductors,Bands,9,Average
Single-arm kettlebell clean,Hamstrings,Kettlebells,5,Average
Preacher Hammer Dumbbell Curl,Biceps,Dumbbell,4,Average
Alternating Kettlebell Press,Shoulders,Kettlebells,8,Average
Split Squat with Dumbbells,Quadriceps,Dumbbell,2,Hard
Standing One-Arm Dumbbell Curl Over Incline Bench,Biceps,,5,Average
Standing Olympic Plate Hand Squeeze,Forearms,Other,7,Hard
Sledgehammer swing,Abdominals,Other,10,Easy
Kneeling Squat,Glutes,Barbell,8,Average
Single-arm kettlebell snatch,Shoulders,Kettlebells,9,Average
Close-grip barbell curl,Biceps,Barbell,8,Average
Box jump,Hamstrings,Other,5,Average
Standing cable crunch,Abdominals,Cable,4,Average
Leverage Incline Chest Press,Chest,Machine,4,Hard
Standing barbell overhead triceps extension,Triceps,Barbell,5,Average
Lying cable triceps extension,Triceps,Cable,2,Hard
Kettlebell Turkish Get-Up (Squat style),Shoulders,Cable,4,Easy
Crunch - Hands Overhead,Abdominals,Body Only,3,Average
Cable Internal Rotation,Shoulders,Cable,3,Average
Leg Extensions,Quadriceps,Machine,8,Average
Close push-up to wide push-up,Chest,Body Only,4,Average
Single-arm dumbbell triceps extension,Triceps,Dumbbell,10,Average
Butterfly,Chest,Machine,1,Average
Decline dumbbell bench press,Chest,Dumbbell,9,Hard
V-up,Abdominals,Body Only,6,Average
Seated face pull,Shoulders,Cable,4,Hard
Barbell Bulgarian split squat,Quadriceps,Barbell,8,Easy
Reverse-grip lat pull-down,Lats,Machine,8,Average
Standing Biceps Cable Curl,Biceps,Cable,7,Average
Single-arm cable seated row,Middle Back,Cable,10,Average
Single-arm kettlebell row,Chest,Dumbbell,6,Average
Scissors Jump,Quadriceps,Body Only,2,Average
Wide Stance Stiff Legs,Hamstrings,Barbell,4,Hard
Rack Pull with Bands,Lower Back,Barbell,10,Average
Drag curl,Biceps,Barbell,3,Hard
Hang Clean - Below the Knees,Quadriceps,Barbell,2,Hard
Decline oblique crunch,Abdominals,,7,Average
Dumbbell external shoulder rotation,Shoulders,Dumbbell,6,Hard
Single-arm bent-over cable rear delt fly,Shoulders,Cable,10,Easy
Clean,Hamstrings,Barbell,10,Average
Single-arm incline lateral raise,Shoulders,Dumbbell,7,Average
Decline bar press sit-up,Abdominals,Barbell,7,Average
Barbell rear delt bent-over row,Shoulders,Barbell,2,Average
Calf Press,Calves,Machine,2,Average
Kettlebell alternating renegade row,Middle Back,Kettlebells,10,Hard
Bosu Ball Cable Crunch With Side Bends,Abdominals,Cable,4,Average
Stomach Vacuum,Abdominals,Body Only,8,Hard
Hammer Grip Incline DB Bench Press,Chest,Dumbbell,10,Easy
Wide-grip hands-elevated push-up,Chest,Body Only,4,Average
Decline Dumbbell Triceps Extension,Triceps,Dumbbell,6,Average
Jumping jack-,Quadriceps,Body Only,10,Average
Push-Ups With Feet On An Exercise Ball,Chest,Body Only,8,Average
Seated cable shoulder press,Shoulders,Cable,7,Average
Barbell hack squat,Quadriceps,Barbell,10,Hard
Feet-elevated push-up,Chest,Body Only,10,Average
Good Morning,Hamstrings,Barbell,1,Hard
Leverage Chest Press,Chest,Machine,1,Easy
Gironda Sternum Chins,Lats,Other,4,Average
Exercise ball crunch,Abdominals,Exercise Ball,9,Average
Seated rear delt fly,Shoulders,Dumbbell,4,Average
Standing face pull,Shoulders,Cable,9,Average
Glute Ham Raise,Hamstrings,Machine,2,Average
Russian twist,Abdominals,Body Only,3,Hard
Seated Flat Bench Leg Pull-In,Abdominals,Weight Bench,6,Average
Barbell shrug,Traps,Barbell,8,Hard
Standing cable rear delt row,Shoulders,Cable,1,Average
Flat Bench Lying Leg Raise,Abdominals,Body Only,7,Average
Hack Squat,Quadriceps,Barbell,3,Average
Dumbbell skullcrusher,Triceps,Dumbbell,8,Average
Man-maker,Middle Back,Dumbbell,6,Hard
Pallof press,Abdominals,Other,4,Average
Knees tucked crunch,Abdominals,Body Only,10,Hard
Straight-arm dumbbell pull-over,Chest,Dumbbell,5,Easy
Arms-crossed jump squat,Quadriceps,Body Only,6,Average
Decline Smith Press,Chest,Machine,1,Average
Band Skull Crusher,Triceps,Machine,2,Average
Side Wrist Pull,Shoulders,,8,Average
Isometric Wipers,Chest,Body Only,8,Average
Skating,Quadriceps,Other,6,Hard
Cable cross-over,Chest,Cable,7,Average
Treadmill running,Quadriceps,Machine,3,Hard
One Arm Pronated Dumbbell Triceps Extension,Triceps,Dumbbell,3,Easy
Single-arm kettlebell clean and jerk,Shoulders,Kettlebells,7,Average
Side To Side Chins,Lats,Body Only,1,Hard
Incline Dumbbell Bench With Palms Facing In,Chest,Dumbbell,5,Average
Seated palms-down wrist curl,Forearms,Dumbbell,6,Easy
Standing leg swing,Hamstrings,Body Only,7,Hard
Clock push-up,Chest,Body Only,4,Average
Machine seated row,Lats,Machine,8,Average
Lying Face Up Plate Neck Resistance,Neck,Other,4,Average
Weighted sissy squat,Quadriceps,Other,3,Average
Jog In Place,Quadriceps,Cable,6,Average
Dumbbell Raise,Shoulders,Dumbbell,5,Hard
Palms-Down Dumbbell Wrist Curl Over A Bench,Forearms,Dumbbell,3,Average
One Arm Supinated Dumbbell Triceps Extension,Triceps,Dumbbell,4,Easy
Stationary bike,Quadriceps,Machine,9,Average
Dumbbell bent-over row,Middle Back,Dumbbell,7,Average
Barbell thruster,Quadriceps,Barbell,8,Hard
Flutter Kicks,Glutes,Weight Bench,10,Average
Dumbbell sumo squat,Quadriceps,Dumbbell,6,Easy
Barbell upright row,Shoulders,Barbell,10,Hard
Superman,Lower Back,Body Only,6,Average
Straight-Arm Pulldown,Lats,Cable,7,Average
Barbell stiff-legged deadlift,Hamstrings,Barbell,7,Average
Standing One-Arm Dumbbell Triceps Extension,Triceps,Dumbbells,4,Average
Smith machine bench press,Chest,Machine,1,Average
Seated Side Lateral Raise,Shoulders,Dumbbell,7,Hard
Dumbbell Lying Rear Lateral Raise,Shoulders,Dumbbell,7,Average
Dumbbell preacher curl,Biceps,Dumbbell,9,Easy
Front Raise And Pullover,Chest,Barbell,7,Hard
Dumbbell seated box jump,Quadriceps,Dumbbell,10,Average
Middle Back Shrug,Middle Back,Dumbbell,4,Average
Incline face-down bar front raise,Shoulders,E-Z Curl Bar,10,Average
Butt-Ups,Abdominals,Body Only,1,Average
Band Good Morning (Pull Through),Hamstrings,Bands,5,Average
Bodyweight Reverse Lunge,Quadriceps,Body Only,5,Hard
Seated One-Arm Dumbbell Palms-Down Wrist Curl,Forearms,Dumbbell,8,Average
Glute Kickback,Glutes,Body Only,8,Easy
Treadmill jogging,Quadriceps,Machine,4,Hard
Plate Pinch,Forearms,Other,3,Average
Yates Row Reverse Grip,Middle Back,Barbell,5,Average
Linear Acceleration Wall Drill,Hamstrings,Body Only,9,Average
Reverse-grip bench press,Triceps,Barbell,3,Average
Leverage Decline Chest Press,Chest,Machine,6,Average
Chain Handle Extension,Triceps,Other,9,Hard
